,full_name,aces,double_faults,1st_serve,1st_serve_points_won,2nd_serve_points_won,break_points_faced,break_points_saved,service_games_played,service_games_won,total_service_points_won,1st_serve_return_points_won,2nd_serve_return_points_won,break_points_opportunities,break_points_converted,return_games_played,return_games_won,return_points_won,total_points_won
7864,Romanowski A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7865,Ramos-Vinolas A,1770,1300,0.62,0.68,0.52,3841,0.61,6375,0.76,0.62,0.3,0.5,3683,0.4,6434,0.23,0.38,0.5
7866,Reister J,161,133,0.7,0.66,0.47,428,0.6,615,0.72,0.6,0.3,0.48,357,0.33,612,0.19,0.37,0.48
7867,Rmus M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7868,Rudnev V,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7869,Rodriquez P,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7870,Rivera S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7871,Rivera-Aranguiz G,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7872,Rochette L,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7873,Raja P,1,9,0.36,0.75,0.38,11,0.64,9,0.56,0.51,0.2,0.2,0,0.0,8,0.0,0.2,0.41
7874,Requiao V,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7875,Ramirez C,4,6,0.73,0.5,0.32,28,0.5,21,0.33,0.45,0.24,0.35,5,0.0,22,0.0,0.29,0.37
7876,Ribeiro Neto E,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7877,Rachidi Y,1,6,0.6,0.64,0.45,15,0.6,13,0.54,0.57,0.28,0.38,5,0.6,15,0.2,0.32,0.45
7878,Rodrigues M,5,6,0.52,0.68,0.45,22,0.68,23,0.7,0.57,0.27,0.52,15,0.4,23,0.26,0.38,0.48
7879,Roshan N,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7880,Reix C,25,3,0.67,0.71,0.46,21,0.81,24,0.83,0.62,0.18,0.45,6,0.33,24,0.08,0.28,0.47
7881,Rungkat C,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7882,Rumenov Payakov G,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7883,Roshardt R,4,6,0.5,0.63,0.45,20,0.5,23,0.57,0.54,0.17,0.52,8,0.5,22,0.18,0.32,0.44
7884,Reynet F,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7885,Rice D,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7886,Reshetnikov V,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7887,Rosenholm P,18,6,0.66,0.71,0.53,15,0.33,37,0.73,0.65,0.24,0.48,10,0.5,36,0.14,0.34,0.48
7888,Romboli F,1,3,0.55,0.59,0.46,6,0.33,9,0.56,0.53,0.2,0.45,1,1.0,9,0.11,0.31,0.42
7889,Reissig N,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7890,Raonic M,8136,1718,0.63,0.81,0.55,2008,0.7,6904,0.91,0.72,0.27,0.46,3031,0.36,6820,0.16,0.34,0.52
7891,Reid M,12,7,0.6,0.67,0.35,12,0.58,13,0.62,0.54,0.23,0.32,2,0.0,13,0.0,0.26,0.41
7892,Rams F,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7893,Rud I,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7894,Rousset E,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7895,Rath M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7896,Rufin G,313,211,0.54,0.7,0.49,405,0.61,606,0.74,0.61,0.27,0.49,317,0.39,604,0.2,0.36,0.49
7897,Ribaste J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7898,Rabeea A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7899,Roelofse R,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7900,Ruzic M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7901,Reda M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7902,Rola B,127,100,0.63,0.68,0.48,232,0.62,343,0.74,0.6,0.3,0.44,176,0.36,346,0.18,0.36,0.48
7903,Reinwein S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7904,Reddy B V,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7905,Reuter Y,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7906,Robert Q,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7907,Ruiz PP,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7908,Rumyantsev A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7909,Richards M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7910,Rajic M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7911,Rondina M,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7912,Runglertmaneepong V,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7913,Renard L,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7914,Rivera C,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7915,Ramanathan R,294,151,0.59,0.74,0.48,203,0.58,427,0.8,0.63,0.26,0.48,196,0.31,420,0.14,0.34,0.49
7916,Rios F,0,6,0.66,0.52,0.2,5,0.0,7,0.29,0.41,0.19,0.43,0,0.0,7,0.0,0.31,0.36
7917,Riba A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7918,Roca Batalla O,26,8,0.62,0.74,0.57,15,0.93,32,0.97,0.68,0.24,0.46,15,0.2,30,0.1,0.32,0.51
7919,Rakitt N,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7920,Ramos F,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7921,Rawat S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7922,Ritschard A,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7923,Ruiz Naranjo MA,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7924,Rocha J,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7925,Raab D,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7926,Ramirez Utermann C,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
7927,Rossier S,0,0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0
